id,name,company_id,amount,status,created_at,paid_at,acciones
28cf2d3d56391c9af6eb5f1a9b9acdd7b6286b0a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-03-09,null,paid_at_no_pagado; 
99b338f67f22d96595db53c4757818e5f184b4a6,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-27,null,paid_at_no_pagado; 
ac8f6474e31d8ccedfc24f69dac9469505038c42,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-03,null,paid_at_no_pagado; 
6973999ddfce63ad1b19884306a97944e44e74fd,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-02-25,null,paid_at_no_pagado; 
5905d22be59b6eab2b4beea5926c6f1c4b359e64,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-06,null,paid_at_no_pagado; 
5c07edbdf720143b9db86bf952236ba343a6ddc3,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-10,null,paid_at_no_pagado; 
d1b2888a400da714f2e92e4d79a218f59cde9d14,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,229.85,voided,2019-05-02,null,paid_at_no_pagado; 
90843ed8cd0438970cab2d7f4bf4d732a45795ce,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,98.17,pre_authorized,2019-05-20,null,paid_at_no_pagado; 
c97578c0979f9bc8efe597186f8b2b7f65013b8f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-09,null,paid_at_no_pagado; 
83d98fd2ee043625cfe95c2b371aa811e4284967,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,134.6,pending_payment,2019-02-25,null,paid_at_no_pagado; 
75c42cfaa6b6e466be70eab46db98807e3e2f478,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-01-14,null,paid_at_no_pagado; 
e0416a3061b6cdb955ca60a11fac3344bd4109fd,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,61.29,pending_payment,2019-03-24,null,paid_at_no_pagado; 
a28431bddd45f0bb33e836b9bfb0a91e087777f0,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,150.93,voided,2019-03-08,null,paid_at_no_pagado; 
a4961de1d186d77ad782507aa97e6bb46a93e2b4,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,45.59,voided,2019-03-19,null,paid_at_no_pagado; 
804f15b8648ba5f2cf0b7c8fdf6621a7f464bdb8,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,27.08,pending_payment,2019-02-04,null,paid_at_no_pagado; 
8b332bbb9d3eccd136f8441e8e1e1f19082afb09,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-11,null,paid_at_no_pagado; 
19cb80a337faeda2ce64325ec18d02ea8a8b4489,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-11,null,paid_at_no_pagado; 
4c9f3a35ea13b76c56e87453141a7ea9a259755d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-02-08,null,paid_at_no_pagado; 
fb562bcbc5abdc558842d966533eaa9ab5adafb4,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-05-01,null,paid_at_no_pagado; 
ccbaad324b7657649bb3064f755a3fe224b1d0e5,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,pending_payment,2019-03-19,null,paid_at_no_pagado; 
87d66075641da62f2c74f44756a354c357888c83,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,87.16,voided,2019-04-15,null,paid_at_no_pagado; 
82509b0bd7e9c39cd477f98e75d58520968d2bf2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,49.99,pending_payment,2019-04-16,null,paid_at_no_pagado; 
84d9041ca1c28d8b3eba531e4c77c812cc8b4063,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,32.61,voided,2019-05-04,null,paid_at_no_pagado; 
e81d7d531d7c8e80be4a311f58927635c636a8d9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,11509.46,pending_payment,2019-04-01,null,paid_at_no_pagado; 
8de6ca9dfe2d78a21f135acc0fe5b38fca7a3224,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,164.16,voided,2019-04-09,null,paid_at_no_pagado; 
10be423a2d92c8be0d3298bf58575567383ed704,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,40.91,voided,2019-03-01,null,paid_at_no_pagado; 
